## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.6670e-01   2.8418e-01  -1.2705e+00   2.6454e-02   2.1170e-03   1.5411e+05   2.8226e+05
  4.7427e-01   5.0559e-01  -6.9398e-01   2.8968e-02   1.5539e-03   4.7173e+05   8.6391e+05
  8.4339e-01   8.9943e-01  -1.1735e-01   2.3038e-02   2.0738e-03   1.4871e+06   2.7233e+06
  1.4998e+00   1.6002e+00   4.5931e-01   1.2512e-02   2.6615e-03   4.7698e+06   8.7352e+06
  2.6670e+00   2.8480e+00   1.0360e+00   1.1762e-02   2.9872e-03   1.5128e+07   2.7704e+07
  4.7427e+00   5.0694e+00   1.6127e+00   1.1755e-02   3.0385e-03   4.7830e+07   8.7594e+07
  8.4339e+00   9.0199e+00   2.1887e+00   1.2108e-02   3.0594e-03   1.5110e+08   2.7672e+08
  1.4998e+01   1.6047e+01   2.7646e+00   1.2346e-02   3.1306e-03   4.7727e+08   8.7404e+08
  2.6670e+01   2.8540e+01   3.3401e+00   1.2372e-02   3.1391e-03   1.5055e+09   2.7570e+09
  4.7427e+01   5.0738e+01   3.9152e+00   1.2533e-02   3.1617e-03   4.7274e+09   8.6575e+09
  8.4339e+01   9.0158e+01   4.4900e+00   1.2552e-02   3.1549e-03   1.4673e+10   2.6871e+10
  1.4998e+02   1.6019e+02   5.0648e+00   1.1991e-02   3.0523e-03   4.4709e+10   8.1877e+10
