## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4829e-01  -1.9200e+00   2.6361e-01   3.3272e-02   3.7223e+02   3.7290e+03
  2.4037e-01   2.5737e-01  -1.3701e+00   8.2496e-02   5.7751e-03   1.5856e+03   1.5869e+04
  4.3133e-01   4.6139e-01  -7.8626e-01   1.9005e-02   4.1173e-03   5.0866e+03   5.0930e+04
  7.7400e-01   8.2777e-01  -2.0150e-01   5.9348e-03   3.5326e-03   1.5843e+04   1.5857e+05
  1.3889e+00   1.4842e+00   3.8275e-01   3.4493e-03   1.5760e-03   5.0258e+04   5.0323e+05
  2.4922e+00   2.6634e+00   9.6787e-01   4.1095e-03   1.0197e-03   1.5934e+05   1.5951e+06
  4.4721e+00   4.7834e+00   1.5536e+00   2.5435e-03   8.6148e-04   5.0796e+05   5.0843e+06
  8.0249e+00   8.5912e+00   2.1392e+00   2.5191e-03   5.4510e-04   1.6209e+06   1.6225e+07
  1.4400e+01   1.5422e+01   2.7242e+00   1.4547e-03   5.2558e-04   5.1639e+06   5.1692e+07
  2.5840e+01   2.7676e+01   3.3088e+00   1.0481e-03   4.7872e-04   1.6431e+07   1.6447e+08
  4.6368e+01   4.9664e+01   3.8935e+00   6.7380e-04   4.3914e-04   5.2113e+07   5.2171e+08
  8.3204e+01   8.9092e+01   4.4778e+00   4.4246e-04   3.5195e-04   1.6416e+08   1.6436e+09
  1.4930e+02   1.5978e+02   5.0618e+00   6.0497e-04   3.0846e-04   5.0986e+08   5.1050e+09
