## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4906e-01  -1.9136e+00  -2.2415e-03   7.4821e-02   1.4098e+02   7.3100e+02
  2.4037e-01   2.5824e-01  -1.3664e+00   1.1870e-01   1.6881e-02   7.0964e+02   3.6860e+03
  4.3133e-01   4.6132e-01  -7.8655e-01   2.4356e-02   1.0829e-02   2.2728e+03   1.1797e+04
  7.7400e-01   8.2648e-01  -2.0330e-01   9.3430e-03   3.9091e-03   6.9923e+03   3.6389e+04
  1.3889e+00   1.4853e+00   3.8320e-01   2.5156e-03   4.0658e-03   2.2450e+04   1.1681e+05
  2.4922e+00   2.6635e+00   9.6758e-01   2.6626e-04   2.1928e-03   7.1764e+04   3.7343e+05
  4.4721e+00   4.7808e+00   1.5529e+00   8.8438e-04   9.5910e-04   2.2663e+05   1.1789e+06
  8.0249e+00   8.5859e+00   2.1386e+00   4.5221e-04   7.0912e-04   7.2445e+05   3.7683e+06
  1.4400e+01   1.5416e+01   2.7239e+00  -2.4365e-04   6.0733e-04   2.3105e+06   1.2020e+07
  2.5840e+01   2.7673e+01   3.3089e+00  -8.9864e-04   3.9188e-04   7.3441e+06   3.8210e+07
  4.6368e+01   4.9661e+01   3.8935e+00  -1.4960e-03   3.9344e-04   2.3272e+07   1.2109e+08
  8.3204e+01   8.9076e+01   4.4777e+00  -1.3714e-03   4.2568e-04   7.3257e+07   3.8118e+08
  1.4930e+02   1.5973e+02   5.0616e+00  -1.4351e-03   3.6273e-04   2.2694e+08   1.1808e+09
