## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4321e-01  -1.9561e+00   1.7807e-01   1.4685e-04   2.0943e+06   7.9473e+06
  2.4037e-01   2.5679e-01  -1.3717e+00   1.7813e-01   7.2866e-05   6.6634e+06   2.5286e+07
  4.3133e-01   4.6069e-01  -7.8671e-01   1.7808e-01   5.8672e-05   2.1163e+07   8.0307e+07
  7.7400e-01   8.2738e-01  -2.0091e-01   1.7807e-01   5.8886e-05   6.6925e+07   2.5396e+08
  1.3889e+00   1.4859e+00   3.8459e-01   1.7807e-01   4.2379e-05   2.1089e+08   8.0027e+08
  2.4922e+00   2.6681e+00   9.6983e-01   1.7808e-01   4.4110e-05   6.6498e+08   2.5234e+09
  4.4721e+00   4.7901e+00   1.5549e+00   1.7808e-01   4.7787e-05   2.1065e+09   7.9935e+09
  8.0249e+00   8.5983e+00   2.1398e+00   1.7808e-01   4.6565e-05   6.6996e+09   2.5423e+10
  1.4400e+01   1.5429e+01   2.7244e+00   1.7808e-01   4.7332e-05   2.1308e+10   8.0859e+10
  2.5840e+01   2.7689e+01   3.3092e+00   1.7808e-01   4.5564e-05   6.7724e+10   2.5699e+11
  4.6368e+01   4.9682e+01   3.8937e+00   1.7807e-01   4.5460e-05   2.1464e+11   8.1450e+11
  8.3204e+01   8.9128e+01   4.4781e+00   1.7806e-01   4.4455e-05   6.7680e+11   2.5683e+12
  1.4930e+02   1.5977e+02   5.0617e+00   1.7806e-01   4.4939e-05   2.0998e+12   7.9682e+12
